time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
89,-5.503884,19456,76,217,190.6,0.146484375,1.0328469276428223,0.741748034954071,750,-0.03345227250829339,0.0003,0.6288032241165638,-14.511132097244262,0.31135356426239014,0.016977498,0.2
90,-5.503884,19712,77,217,190.6,0.006640625,1.032520055770874,-0.09535610675811768,760,-0.01110242863651365,0.0003,74.62564163208008,-14.50467391014099,37.50127029418945,0.004724048,0.2
91,-5.5192323,19968,78,217,193.87,0.16171875,1.0334510803222656,0.9772696737200022,770,-0.02500947827938944,0.0003,0.14191558805759996,-14.507066988945008,-0.03376409783959389,0.013813607,0.2
92,-5.551059,20224,79,217,194.72,0.13359375,1.031044602394104,0.1634405255317688,780,-0.023914347810205072,0.0003,3.1590967804193495,-14.50479760169983,0.7960317730903625,0.018378375,0.2
94,-5.551059,20480,80,217,194.72,0.24375,1.031007170677185,0.05876481533050537,790,-0.03645445378497243,0.0003,0.8450647536665201,-14.485137057304382,0.253060907125473,0.026683865,0.2
95,-5.5929713,20736,81,217,197.72,0.18125,1.0316115617752075,0.9950166991911829,800,-0.02179895543958992,0.0003,0.04042184047866613,-14.491818380355834,-0.02964460849761963,0.014345241,0.2
96,-5.633741,20992,82,217,189.46,0.1390625,1.0308420658111572,0.8818684816360474,810,-0.01981356812175363,0.0003,0.33028960786759853,-14.49196503162384,0.1895456612110138,0.01945896,0.2
97,-4.5435343,21248,83,217,187.14,0.13515625,1.0310930013656616,-0.1566932201385498,820,-0.014966898027341812,0.0003,1.9328391894698143,-14.485827112197876,1.0707231760025024,0.017695067,0.2
98,-4.610347,21504,84,217,191.06,0.000390625,1.0310778617858887,-0.01569950580596924,830,-0.0013540888205170632,0.0003,324.7342657089233,-14.488954758644104,137.89712524414062,0.00242861,0.2
100,-4.610347,21760,85,217,191.06,0.301953125,1.0286269187927246,0.8150431662797928,840,-0.03839081295300275,0.0003,0.37077995557338,-14.478118562698365,0.17493873834609985,0.036693044,0.2
